Name	Location	Status	lat	NS	long	EW	Elev	Type	Eruptype
Lamongan	Java	Historical	-7.979	S	113.342	E	1651	Stratovolcano	M1
Penanggungan	Java	Holocene	-7.62	S	112.63	E	1653	Stratovolcano	S0
Iliboleng	Lesser Sunda Is	Historical	-8.342	S	123.258	E	1659	Stratovolcano	M1
Manzaz Volc Field	Africa-N	Holocene	23.92	N	5.83	E	1672	Scoria cones	M0
Poco Leok	Lesser Sunda Is	Fumarolic	-8.68	S	120.48	E	1675	Stratovolcano	S0
Lamington	New Guinea	Historical	-8.95	S	148.15	E	1680	Stratovolcano	S2
Tampomas	Java	Holocene	-6.77	S	107.95	E	1684	Stratovolcano	S0
Acig maybel-Nevsehir	Turkey	Anthropology	38.57	N	34.52	E	1689	Caldera	S0
Paka	Africa-E	Ar/Ar	0.92	N	36.18	E	1697	Shield volcano	S0
Perbakti-Gagak	Java	Historical	-6.75	S	106.7	E	1699	Stratovolcanoes	S0
